1,35.6,1500000
2,41.1,2400000
3,41.1,2400000
4,43.3,2400000
5,43.3,2400000
6,43.9,2400000
7,44.4,2400000
8,43.9,2400000
9,44.4,2400000
10,45.0,2400000
11,45.0,2400000
12,46.1,2400000
13,45.5,2400000
14,46.1,2400000
15,46.1,2400000
16,46.6,2400000
17,46.6,2400000
18,46.6,2400000
19,46.6,2400000
20,46.6,2400000
21,47.2,2400000
22,47.2,2400000
23,47.7,2400000
24,47.2,2400000
25,47.7,2400000
26,48.8,2400000
27,48.3,2400000
28,47.7,2400000
29,47.7,2400000
30,47.7,2400000
31,48.8,2400000
32,47.7,2400000
33,47.7,2400000
34,49.4,2400000
35,48.8,2400000
36,48.3,2400000
37,49.4,2400000
38,47.7,2400000
39,49.4,2400000
40,49.4,2400000
41,48.8,2400000
42,49.4,2400000
43,49.9,2400000
44,48.8,2400000
45,49.4,2400000
46,49.9,2400000
47,50.5,2400000
48,50.5,2400000
49,50.5,2400000
50,50.5,2400000
51,49.4,2400000
52,50.5,2400000
53,50.5,2400000
54,51.0,2400000
55,51.0,2400000
56,51.0,2400000
57,50.5,2400000
58,51.6,2400000
59,50.5,2400000
60,51.0,2400000
