group,t_ns,freq_khz
zeros,5065981,2400000
zeros,10121833,2400000
zeros,15178222,2400000
zeros,20230833,2400000
zeros,25284815,2400000
zeros,30340463,2400000
zeros,35394352,2400000
zeros,40447037,2400000
zeros,45500278,2400000
zeros,50555592,2400000
zeros,55609389,2400000
zeros,60665333,2400000
zeros,65740370,2400000
zeros,70790981,2400000
zeros,75841481,2400000
zeros,80892444,2400000
zeros,85962759,2400000
zeros,91031055,2400000
zeros,96084129,2400000
zeros,101135463,2400000
zeros,106201870,2400000
zeros,111257296,2400000
zeros,116308907,2400000
zeros,121362778,2400000
zeros,126419129,2400000
zeros,131469815,2400000
zeros,136522648,2400000
zeros,141574296,2400000
zeros,146630629,2400000
zeros,151681203,2400000
zeros,156734722,2400000
zeros,161789796,2400000
zeros,166843333,2400000
zeros,171895685,2400000
zeros,176950815,2400000
zeros,182004185,2400000
zeros,187056518,2400000
zeros,192123259,2400000
zeros,197180185,2400000
zeros,202235481,2400000
ones,5065148,2400000
ones,10121722,2400000
ones,15172500,2400000
ones,20226500,2400000
ones,25280500,2400000
ones,30336944,2400000
ones,35401389,2400000
ones,40465055,2400000
ones,45518574,2400000
ones,50582370,2400000
ones,55636759,2400000
ones,60688777,2400000
ones,65713296,2400000
ones,70772944,2400000
ones,75843666,2400000
ones,80897740,2400000
ones,85955037,2400000
ones,91009814,2400000
ones,96064555,2400000
ones,101119222,2400000
ones,106174722,2400000
ones,111229703,2400000
ones,116282277,2400000
ones,121336648,2400000
ones,126390648,2400000
ones,131444759,2400000
ones,136497481,2400000
ones,141561666,2400000
ones,146616759,2400000
ones,151684351,2400000
ones,156741648,2400000
ones,161798277,2400000
ones,166851814,2400000
ones,171905444,2400000
ones,176960629,2400000
ones,182016629,2400000
ones,187073851,2400000
ones,192126370,2400000
ones,197175907,2400000
ones,202229333,2400000
