group,t_ns,freq_khz
zeros,5065926,2400000
zeros,10131944,2400000
zeros,15141296,2400000
zeros,20168481,2400000
zeros,25232611,2400000
zeros,30297389,2400000
zeros,35310852,2400000
zeros,40378018,2400000
zeros,45387963,2400000
zeros,50402629,2400000
zeros,55466240,2400000
zeros,60472555,2400000
zeros,65539018,2400000
zeros,70604611,2400000
zeros,75668018,2400000
zeros,80674129,2400000
zeros,85739963,2400000
zeros,90803481,2400000
zeros,95865500,2400000
zeros,100932740,2400000
zeros,106002796,2400000
zeros,111068740,2400000
zeros,116133259,2400000
zeros,121197463,2400000
zeros,126263055,2400000
zeros,131280796,2400000
zeros,136298148,2400000
zeros,141362222,2400000
zeros,146374574,2400000
zeros,151437759,2400000
zeros,156504426,2400000
zeros,161568703,2400000
zeros,166631018,2400000
zeros,171694852,2400000
zeros,176761055,2400000
zeros,181825426,2400000
zeros,186889833,2400000
zeros,191953907,2400000
zeros,197020074,2400000
zeros,202026240,2400000
ones,5071037,2400000
ones,10138296,2400000
ones,15145333,2400000
ones,20211463,2400000
ones,25217351,2400000
ones,30281148,2400000
ones,35344074,2400000
ones,40410518,2400000
ones,45474407,2400000
ones,50536611,2400000
ones,55603629,2400000
ones,60667481,2400000
ones,65730481,2400000
ones,70792370,2400000
ones,75855870,2400000
ones,80876962,2400000
ones,85944962,2400000
ones,91010351,2400000
ones,96023722,2400000
ones,101089481,2400000
ones,106096555,2400000
ones,111160870,2400000
ones,116226666,2400000
ones,121290518,2400000
ones,126358277,2400000
ones,131421537,2400000
ones,136486981,2400000
ones,141552685,2400000
ones,146618166,2400000
ones,151684222,2400000
ones,156747203,2400000
ones,161810092,2400000
ones,166874314,2400000
ones,171936129,2400000
ones,177000370,2400000
ones,182013536,2400000
ones,187067685,2400000
ones,192081759,2400000
ones,197105111,2400000
ones,202168962,2400000
