idx,kind,cycles
1572,valid,64219
1573,invalid,64224
1574,valid,64375
1575,invalid,64194
1576,valid,64275
1577,invalid,64218
1578,valid,64251
1579,invalid,65246
1580,valid,64255
1581,invalid,66825
1582,valid,64257
1583,invalid,64237
1584,valid,64194
1585,invalid,64225
1586,valid,64197
1587,invalid,64228
1588,valid,64210
1589,invalid,64191
1590,valid,64174
1591,invalid,64225
1592,valid,64281
1593,invalid,64233
1594,valid,64216
1595,invalid,64238
1596,valid,64486
1597,invalid,64176
1598,valid,64183
1599,invalid,64147
1600,valid,64258
1601,invalid,64195
1602,valid,64230
1603,invalid,64852
1604,valid,64392
1605,invalid,64242
1606,valid,64260
1607,invalid,64197
1608,valid,64211
1609,invalid,64190
1610,valid,64293
1611,invalid,64201
1612,valid,64162
1613,invalid,64411
1614,valid,64261
1615,invalid,64178
1616,valid,64206
1617,invalid,64204
1618,valid,64215
1619,invalid,64218
1620,valid,64278
1621,invalid,64266
1622,valid,64234
1623,invalid,64233
1624,valid,64219
1625,invalid,64885
1626,valid,64481
1627,invalid,64273
1628,valid,64332
1629,invalid,64231
1630,valid,64244
1631,invalid,64282
1632,valid,64265
1633,invalid,64393
1634,valid,64215
1635,invalid,64239
1636,valid,64226
1637,invalid,64295
1638,valid,64422
1639,invalid,64244
1640,valid,64262
1641,invalid,64218
1642,valid,64253
1643,invalid,64213
1644,valid,64265
1645,invalid,64279
1646,valid,64218
1647,invalid,64257
1648,valid,64216
1649,invalid,64259
1650,valid,64262
1651,invalid,64264
1652,valid,64327
1653,invalid,64259
1654,valid,64836
1655,invalid,64271
1656,valid,64266
1657,invalid,64215
1658,valid,64363
1659,invalid,64228
1660,valid,64230
1661,invalid,64158
1662,valid,64341
1663,invalid,64232
1664,valid,66798
1665,invalid,65345
1666,valid,64225
1667,invalid,65366
1668,valid,64233
1669,invalid,64240
1670,valid,64244
1671,invalid,64290
1672,valid,64256
1673,invalid,64249
1674,valid,64229
1675,invalid,64267
1676,valid,64305
1677,invalid,64202
1678,valid,64214
1679,invalid,64222
1680,valid,64212
1681,invalid,64212
1682,valid,64220
1683,invalid,64198
1684,valid,64267
1685,invalid,64183
1686,valid,64258
1687,invalid,64212
1688,valid,64194
1689,invalid,64191
1690,valid,64222
1691,invalid,64285
1692,valid,64272
1693,invalid,64192
1694,valid,64199
1695,invalid,64276
1696,valid,64239
1697,invalid,64208
1698,valid,64318
1699,invalid,64230
1700,valid,64201
1701,invalid,64228
1702,valid,64228
1703,invalid,64354
1704,valid,64214
1705,invalid,64267
1706,valid,64316
1707,invalid,64287
1708,valid,64253
1709,invalid,65723
1710,valid,64254
1711,invalid,64229
1712,valid,64831
1713,invalid,64266
1714,valid,64552
1715,invalid,64268
1716,valid,64183
1717,invalid,64214
1718,valid,64574
1719,invalid,64228
1720,valid,64214
1721,invalid,64935
1722,valid,64271
1723,invalid,64875
1724,valid,64225
1725,invalid,64254
1726,valid,64276
1727,invalid,64241
1728,valid,64232
1729,invalid,64204
1730,valid,64263
1731,invalid,64197
1732,valid,64378
1733,invalid,64217
1734,valid,64533
1735,invalid,64217
1736,valid,64247
1737,invalid,64244
1738,valid,64209
1739,invalid,64462
1740,valid,64240
1741,invalid,64233
1742,valid,64293
1743,invalid,64234
1744,valid,64217
1745,invalid,64325
1746,valid,64249
1747,invalid,64327
1748,valid,64306
1749,invalid,64251
1750,valid,64248
1751,invalid,64221
1752,valid,64552
1753,invalid,64252
1754,valid,64264
1755,invalid,64227
1756,valid,64215
1757,invalid,64215
1758,valid,64267
1759,invalid,64243
1760,valid,64308
1761,invalid,64198
1762,valid,64272
1763,invalid,64268
1764,valid,64285
1765,invalid,64256
1766,valid,64211
1767,invalid,64262
1768,valid,64215
1769,invalid,65693
1770,valid,64292
1771,invalid,64238
1772,valid,64315
1773,invalid,64250
1774,valid,64281
1775,invalid,64522
1776,valid,64345
1777,invalid,64331
1778,valid,65460
1779,invalid,64502
1780,valid,64259
1781,invalid,64278
1782,valid,64241
1783,invalid,64241
1784,valid,64196
1785,invalid,64234
1786,valid,64202
1787,invalid,64513
1788,valid,64298
1789,invalid,64214
1790,valid,64237
1791,invalid,64302
1792,valid,64302
1793,invalid,65592
1794,valid,64254
1795,invalid,64583
1796,valid,64249
1797,invalid,64229
1798,valid,64234
1799,invalid,64249
1800,valid,64386
1801,invalid,64207
1802,valid,64407
1803,invalid,64309
1804,valid,64424
1805,invalid,64246
1806,valid,64237
1807,invalid,64339
1808,valid,64414
1809,invalid,64250
1810,valid,64260
1811,invalid,64244
1812,valid,64251
1813,invalid,64226
1814,valid,64278
1815,invalid,64239
1816,valid,64221
1817,invalid,64228
1818,valid,64225
1819,invalid,64230
1820,valid,64388
1821,invalid,64216
1822,valid,64241
1823,invalid,64176
1824,valid,64189
1825,invalid,64192
1826,valid,64276
1827,invalid,64246
1828,valid,64211
1829,invalid,64195
1830,valid,64247
1831,invalid,64187
1832,valid,64241
1833,invalid,64291
1834,valid,64254
1835,invalid,64289
1836,valid,64227
1837,invalid,64287
1838,valid,64773
1839,invalid,64249
1840,valid,64227
1841,invalid,64213
1842,valid,64244
1843,invalid,64284
1844,valid,65299
1845,invalid,64248
1846,valid,64228
1847,invalid,64754
1848,valid,64199
1849,invalid,64275
1850,valid,64263
1851,invalid,64288
1852,valid,64210
1853,invalid,64420
1854,valid,64566
1855,invalid,64250
1856,valid,64574
1857,invalid,64250
1858,valid,64230
1859,invalid,64231
1860,valid,64190
1861,invalid,64267
1862,valid,64203
1863,invalid,64190
1864,valid,64211
1865,invalid,64215
1866,valid,64287
1867,invalid,64255
1868,valid,64204
1869,invalid,64222
1870,valid,64258
1871,invalid,64229
1872,valid,64196
1873,invalid,64263
1874,valid,64233
1875,invalid,64232
1876,valid,64233
1877,invalid,64315
1878,valid,64307
1879,invalid,65261
1880,valid,64242
1881,invalid,64319
1882,valid,64856
1883,invalid,64271
1884,valid,64206
1885,invalid,64310
1886,valid,64310
1887,invalid,64277
1888,valid,64282
1889,invalid,64268
1890,valid,64322
1891,invalid,64257
1892,valid,64229
1893,invalid,64249
1894,valid,64365
1895,invalid,64237
1896,valid,64261
1897,invalid,64223
1898,valid,64292
1899,invalid,64317
1900,valid,64263
1901,invalid,64275
1902,valid,64262
1903,invalid,64212
1904,valid,64224
1905,invalid,64242
1906,valid,64271
1907,invalid,64229
1908,valid,64237
1909,invalid,64264
1910,valid,64215
1911,invalid,64281
1912,valid,64191
1913,invalid,64832
1914,valid,64335
1915,invalid,64283
1916,valid,64228
1917,invalid,64284
1918,valid,64275
1919,invalid,64320
1920,valid,64351
1921,invalid,64287
1922,valid,64350
1923,invalid,64249
1924,valid,64236
1925,invalid,64236
1926,valid,64282
1927,invalid,64235
1928,valid,64310
1929,invalid,64247
1930,valid,64502
1931,invalid,64380
1932,valid,64257
1933,invalid,64281
1934,valid,64314
1935,invalid,64268
1936,valid,64302
1937,invalid,64329
1938,valid,64270
1939,invalid,64230
1940,valid,64248
1941,invalid,64210
1942,valid,64925
1943,invalid,64271
1944,valid,64554
1945,invalid,64262
1946,valid,64244
1947,invalid,64306
1948,valid,64278
1949,invalid,64331
1950,valid,64257
1951,invalid,64250
1952,valid,64903
1953,invalid,64280
1954,valid,64280
1955,invalid,64230
1956,valid,64251
1957,invalid,64264
1958,valid,64310
1959,invalid,64253
1960,valid,64232
1961,invalid,64327
1962,valid,64315
1963,invalid,64701
1964,valid,65228
1965,invalid,66204
1966,valid,64496
1967,invalid,64270
1968,valid,64348
1969,invalid,64196
1970,valid,64286
1971,invalid,64293
1972,valid,64969
1973,invalid,64282
1974,valid,64581
1975,invalid,64285
1976,valid,64220
1977,invalid,64278
1978,valid,66255
1979,invalid,64282
1980,valid,64287
1981,invalid,64264
1982,valid,64269
1983,invalid,64231
1984,valid,64303
1985,invalid,64262
1986,valid,64263
1987,invalid,64208
1988,valid,64260
1989,invalid,64186
1990,valid,64247
1991,invalid,64237
1992,valid,64223
1993,invalid,64284
1994,valid,64246
1995,invalid,64352
1996,valid,64402
1997,invalid,64230
1998,valid,64538
1999,invalid,64222
