idx,kind,cycles
375,invalid,64269
376,valid,64280
377,invalid,64371
378,valid,64272
379,invalid,64292
380,valid,64762
381,invalid,64233
382,valid,65418
383,invalid,64214
384,valid,64275
385,invalid,65511
386,valid,66089
387,invalid,64444
388,valid,64436
389,invalid,64265
390,valid,64327
391,invalid,64261
392,valid,64238
393,invalid,64335
394,valid,64231
395,invalid,64360
396,valid,64301
397,invalid,64309
398,valid,64242
399,invalid,64241
400,valid,64386
401,invalid,64332
402,valid,64260
403,invalid,64403
404,valid,64227
405,invalid,64292
406,valid,64247
407,invalid,64272
408,valid,64267
409,invalid,64254
410,valid,64216
411,invalid,64273
412,valid,64318
413,invalid,64231
414,valid,64323
415,invalid,64272
416,valid,64258
417,invalid,64352
418,valid,64251
419,invalid,64265
420,valid,64205
421,invalid,64284
422,valid,64238
423,invalid,64277
424,valid,64240
425,invalid,64212
426,valid,64294
427,invalid,66090
428,valid,64329
429,invalid,64465
430,valid,64312
431,invalid,64319
432,valid,64702
433,invalid,64287
434,valid,64254
435,invalid,64297
436,valid,64529
437,invalid,64325
438,valid,64558
439,invalid,64322
440,valid,64255
441,invalid,64297
442,valid,64264
443,invalid,65144
444,valid,64196
445,invalid,64374
446,valid,64260
447,invalid,64267
448,valid,64479
449,invalid,64294
450,valid,64168
451,invalid,64255
452,valid,64212
453,invalid,64217
454,valid,64269
455,invalid,64212
456,valid,64234
457,invalid,64235
458,valid,64249
459,invalid,64266
460,valid,64205
461,invalid,64237
462,valid,64208
463,invalid,64269
464,valid,64315
465,invalid,64289
466,valid,64283
467,invalid,64228
468,valid,64349
469,invalid,64350
470,valid,64566
471,invalid,64283
472,valid,64314
473,invalid,64287
474,valid,64318
475,invalid,64275
476,valid,66201
477,invalid,64693
478,valid,64268
479,invalid,64280
480,valid,64273
481,invalid,64292
482,valid,64229
483,invalid,64218
484,valid,64269
485,invalid,64311
486,valid,65368
487,invalid,64221
488,valid,65424
489,invalid,64275
490,valid,64272
491,invalid,64238
492,valid,64217
493,invalid,64259
494,valid,64293
495,invalid,64317
496,valid,65034
497,invalid,64276
498,valid,64169
499,invalid,64256
500,valid,64193
501,invalid,64306
502,valid,64159
503,invalid,64226
504,valid,64264
505,invalid,64395
506,valid,64178
507,invalid,64225
508,valid,64183
509,invalid,64244
510,valid,64275
511,invalid,64295
512,valid,64264
513,invalid,64326
514,valid,65234
515,invalid,64552
516,valid,64483
517,invalid,64339
518,valid,64216
519,invalid,64242
520,valid,64233
521,invalid,64247
522,valid,64245
523,invalid,64344
524,valid,64243
525,invalid,64292
526,valid,64242
527,invalid,64223
528,valid,64417
529,invalid,64211
530,valid,64213
531,invalid,64265
532,valid,64259
533,invalid,64266
534,valid,64154
535,invalid,64228
536,valid,64239
537,invalid,64258
538,valid,64193
539,invalid,64226
540,valid,64242
541,invalid,64182
542,valid,64226
543,invalid,64169
544,valid,64251
545,invalid,64182
546,valid,64247
547,invalid,64171
548,valid,64221
549,invalid,64208
550,valid,64261
551,invalid,64265
552,valid,64282
553,invalid,64330
554,valid,64267
555,invalid,64408
556,valid,65050
557,invalid,64266
558,valid,64235
559,invalid,64226
560,valid,64263
561,invalid,64219
562,valid,64318
563,invalid,64286
564,valid,64252
565,invalid,64239
566,valid,64233
567,invalid,64235
568,valid,64211
569,invalid,64253
570,valid,64273
571,invalid,64313
572,valid,64427
